replicateID,stationID,collectorName,replicateName,collectionDate,collectionTime,storageID,DateOfStorage,methodOfStorage,minimumElevationInMeters,maximumElevationInMeters,verbatimElevation,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,flowRate(m/s),filterType,filtrationDuration(mins),volumeFiltered,processLocation,replicationNumber,riparianVegetationPercentageCover,dissolvedOxygen(mg/L),waterTemperature(C),pH,TSS(mg/L),EC(uS/cm),turbidity(NTU),discharge,tide,chlorophyl,salinity(ppt),contaminants(ng/g),traceMetals(mg/kg),organicContent(%),microbialActivity,grainSize,replicateDataNotes
29,6,Andrew Nicholson,A4.2,2019-09-14,14:59:00,A4.2,2019-09-14,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,1020,E5-1,0,60,11,15,8,0,1336,0,,0,0,0,0,0,0,0,0,
30,6,Kathleen Nolan,O4.1,2019-09-14,14:52:00,O4.1,2019-09-14,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,950,E5-1,0,60,11,15,8,0,1336,0,,0,0,0,0,0,0,0,0,
31,6,Hannah Little,O4.2,2019-09-14,14:59:00,O4.2,2019-09-14,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,980,E5-1,0,60,11,15,8,0,1336,0,,0,0,0,0,0,0,0,0,
32,2,Danielle Bourque,control2,2020-08-02,,,,,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
33,7,Gord Wichert,O5.1,2019-09-14,16:23:00,O5.1,2019-09-14,Sterile plastic bag,298,343,320,0,0,0,0,5 m pore diameter fiberglass filter,,1050,E4,0,50,11,16,8,0,1375,0,,0,0,0,0,0,0,0,0,
34,7,Gord Wichert,O5.2,2019-09-14,16:33:00,O5.2,2019-09-14,Sterile plastic bag,298,343,320,0,0,0,0,5 m pore diameter fiberglass filter,,1040,E4,0,50,11,16,8,0,1375,0,,0,0,0,0,0,0,0,0,
35,7,Andrew Nicholson,A5.1,2019-09-14,16:23:00,A5.1,2019-09-14,Sterile plastic bag,298,343,320,0,0,0,0,5 m pore diameter fiberglass filter,,1010,E4,0,50,11,16,8,0,1375,0,,0,0,0,0,0,0,0,0,
36,7,Andrew Nicholson,A5.2,2019-09-14,16:33:00,A5.2,2019-09-14,Sterile plastic bag,298,343,320,0,0,0,0,5 m pore diameter fiberglass filter,,1020,E4,0,50,11,16,8,0,1375,0,,0,0,0,0,0,0,0,0,
37,7,Hannah Little,A5.2B,2019-09-14,16:40:00,A5.2B,2019-09-14,Sterile plastic bag,298,343,320,0,0,0,0,5 m pore diameter fiberglass filter,,1050,E4,0,50,11,16,8,0,1375,0,,0,0,0,0,0,0,0,0,
38,2,control3,,2019-10-04,,,,,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
39,3,Hannah Little,O1.1N,2019-10-04,10:00:00,O1.1N,2019-10-04,Sterile plastic bag,298,343,320,0,0,0,0,5 m pore diameter fiberglass filter,,1010,E8-2,0,40,9,7,9,0,0,0,,0,0,0,0,0,0,0,0,Filter tore - adjusted pressure on sampling backpack to avoid future tears
40,3,Hannah Little,O1.2N,2019-10-04,10:15:00,O1.2N,2019-10-04,Sterile plastic bag,298,343,320,0,0,0,0,5 m pore diameter fiberglass filter,,1060,E8-2,0,40,9,7,9,0,0,0,,0,0,0,0,0,0,0,0,
41,3,Joschka McLeod,A1.1N,2019-10-04,10:00:00,A1.1N,2019-10-04,Sterile plastic bag,298,343,320,0,0,0,0,5 m pore diameter fiberglass filter,,1270,E8-2,0,40,9,7,9,0,0,0,,0,0,0,0,0,0,0,0,
42,3,Joschka McLeod,A1.2N,2019-10-04,10:15:00,A1.2N,2019-10-04,Sterile plastic bag,298,343,320,0,0,0,0,5 m pore diameter fiberglass filter,,1030,E8-2,0,40,9,7,9,0,0,0,,0,0,0,0,0,0,0,0,
43,4,Hannah Little,O2.1N,2019-10-04,10:35:00,O2.1N,2019-10-04,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,1060,E8-1,0,40,8,6,10,0,0,0,,0,0,0,0,0,0,0,0,
44,4,Hannah Little,O2.2N,2019-10-04,10:43:00,O2.2N,2019-10-04,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,1050,E8-1,0,40,8,6,10,0,0,0,,0,0,0,0,0,0,0,0,
45,4,Joschka McLeod,A2.1N,2019-10-04,10:35:00,A2.1N,2019-10-04,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,1210,E8-1,0,40,8,6,10,0,0,0,,0,0,0,0,0,0,0,0,
46,4,Joschka McLeod,A2.2N,2019-10-04,10:43:00,A2.2N,2019-10-04,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,1020,E8-1,0,40,8,6,10,0,0,0,,0,0,0,0,0,0,0,0,
47,5,Hannah Little,O3.1N,2019-10-04,11:20:00,O3.1N,2019-10-04,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,1050,F5-1,0,40,7,7,9,0,0,0,,0,0,0,0,0,0,0,0,
48,5,Hannah Little,O3.2N,2019-10-04,11:25:00,O3.2N,2019-10-04,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,1050,F5-1,0,40,7,7,9,0,0,0,,0,0,0,0,0,0,0,0,
49,5,Joschka McLeod,A3.1N,2019-10-04,11:20:00,A3.1N,2019-10-04,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,1050,F5-1,0,40,7,7,9,0,0,0,,0,0,0,0,0,0,0,0,
50,5,Joschka McLeod,A3.2N,2019-10-04,11:25:00,A3.2N,2019-10-04,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,1030,F5-1,0,40,7,7,9,0,0,0,,0,0,0,0,0,0,0,0,
51,6,Hannah Little,O4.1N,2019-10-04,12:46:00,O4.1N,2019-10-04,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,1230,E5-1,0,20,8,7,9,0,0,0,,0,0,0,0,0,0,0,0,
52,6,Hannah Little,O4.2N,2019-10-04,12:50:00,O4.2N,2019-10-04,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,1050,E5-1,0,20,8,7,9,0,0,0,,0,0,0,0,0,0,0,0,
53,6,Joschka McLeod,A4.1N,2019-10-04,12:46:00,A4.1N,2019-10-04,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,1050,E5-1,0,20,8,7,9,0,0,0,,0,0,0,0,0,0,0,0,
54,6,Joschka McLeod,A4.2N,2019-10-04,12:50:00,A4.2N,2019-10-04,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,1080,E5-1,0,20,8,7,9,0,0,0,,0,0,0,0,0,0,0,0,
55,7,Hannah Little,O5.1N,2019-10-04,13:21:00,O5.1N,2019-10-04,Sterile plastic bag,298,343,320,0,0,0,0,5 m pore diameter fiberglass filter,,1040,E4,0,30,8,8,9,0,0,0,,0,0,0,0,0,0,0,0,
56,7,Hannah Little,O5.2N,2019-10-04,13:30:00,O5.2N,2019-10-04,Sterile plastic bag,298,343,320,0,0,0,0,5 m pore diameter fiberglass filter,,990,E4,0,30,8,8,9,0,0,0,,0,0,0,0,0,0,0,0,
57,7,Joschka McLeod,A5.1N,2019-10-04,13:21:00,A5.1N,2019-10-04,Sterile plastic bag,298,343,320,0,0,0,0,5 m pore diameter fiberglass filter,,1000,E4,0,30,8,8,9,0,0,0,,0,0,0,0,0,0,0,0,
58,7,Joschka McLeod,A5.2N,2019-10-04,13:30:00,A5.2N,2019-10-04,Sterile plastic bag,298,343,320,0,0,0,0,5 m pore diameter fiberglass filter,,1010,E4,0,30,8,8,9,0,0,0,,0,0,0,0,0,0,0,0,filter tore while sampling
60,2,,A NegC,2019-10-23,,,,,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
63,2,,O NegC,2019-10-23,,,,,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
66,8,Hannah Little,O1.1N23,2019-10-23,9:30:00,O1.1N23,2019-10-23,Sterile plastic bag,138,183,160,0,0,0,0,5 m pore diameter fiberglass filter,,1200,Kilman Road Culvert,0,20,12,4,8,0,656,0,,0,0,0,0,0,0,0,0,filter tore while sampling
67,8,Hannah Little,O1.2N23,2019-10-23,9:35:00,O1.2N23,2019-10-23,Sterile plastic bag,138,183,160,0,0,0,0,5 m pore diameter fiberglass filter,,1180,Kilman Road Culvert,0,20,12,4,8,0,656,0,,0,0,0,0,0,0,0,0,
68,8,Joschka McLeod,A1.1N23,2019-10-23,9:30:00,A1.1N23,2019-10-23,Sterile plastic bag,138,183,160,0,0,0,0,5 m pore diameter fiberglass filter,,1190,Kilman Road Culvert,0,20,12,4,8,0,656,0,,0,0,0,0,0,0,0,0,
69,8,Joschka McLeod,A1.2N23,2019-10-23,9:35:00,A1.2N23,2019-10-23,Sterile plastic bag,138,183,160,0,0,0,0,5 m pore diameter fiberglass filter,,1190,Kilman Road Culvert,0,20,12,4,8,0,656,0,,0,0,0,0,0,0,0,0,
70,9,Hannah Little,O2.1N23,2019-10-23,10:15:00,O2.1N23,2019-10-23,Sterile plastic bag,138,183,160,0,0,0,0,5 m pore diameter fiberglass filter,,1870,Messina-Vedder,0,10,12,4,8,0,681,0,,0,0,0,0,0,0,0,0,
71,9,Hannah Little,O2.2N23,2019-10-23,10:25:00,O2.2N23,2019-10-23,Sterile plastic bag,138,183,160,0,0,0,0,5 m pore diameter fiberglass filter,,1160,Messina-Vedder,0,10,12,4,8,0,681,0,,0,0,0,0,0,0,0,0,
72,9,Joschka McLeod,A2.1N23,2019-10-23,10:15:00,A2.1N23,2019-10-23,Sterile plastic bag,138,183,160,0,0,0,0,5 m pore diameter fiberglass filter,,1100,Messina-Vedder,0,10,12,4,8,0,681,0,,0,0,0,0,0,0,0,0,
73,9,Joschka McLeod,A2.2N23,2019-10-23,10:25:00,A2.2N23,2019-10-23,Sterile plastic bag,138,183,160,0,0,0,0,5 m pore diameter fiberglass filter,,990,Messina-Vedder,0,10,12,4,8,0,681,0,,0,0,0,0,0,0,0,0,
74,10,Hannah Little,O3.1N23,2019-10-23,11:05:00,O3.1N23,2019-10-23,Sterile plastic bag,101,146,123,0,0,0,0,5 m pore diameter fiberglass filter,,1180,Michalko,0,10,14,3,8,0,771,0,,0,0,0,0,0,0,0,0,
75,10,Hannah Little,O3.2N23,2019-10-23,11:15:00,O3.2N23,2019-10-23,Sterile plastic bag,101,146,123,0,0,0,0,5 m pore diameter fiberglass filter,,1210,Michalko,0,10,14,3,8,0,771,0,,0,0,0,0,0,0,0,0,
76,10,Joschka McLeod,A3.1N23,2019-10-23,11:05:00,A3.1N23,2019-10-23,Sterile plastic bag,101,146,123,0,0,0,0,5 m pore diameter fiberglass filter,,1050,Michalko,0,10,14,3,8,0,771,0,,0,0,0,0,0,0,0,0,
77,10,Joschka McLeod,A3.2N23,2019-10-23,11:15:00,A3.2N23,2019-10-23,Sterile plastic bag,101,146,123,0,0,0,0,5 m pore diameter fiberglass filter,,1020,Michalko,0,10,14,3,8,0,771,0,,0,0,0,0,0,0,0,0,
78,11,Hannah Little,O4.1N23,2019-10-23,11:35:00,O4.1N23,2019-10-23,Sterile plastic bag,138,183,160,0,0,0,0,5 m pore diameter fiberglass filter,,1060,Freure 1,0,40,10,5,8,0,928,0,,0,0,0,0,0,0,0,0,
79,11,Hannah Little,O4.2N23,2019-10-23,11:45:00,O4.2N23,2019-10-23,Sterile plastic bag,138,183,160,0,0,0,0,5 m pore diameter fiberglass filter,,1070,Freure 1,0,40,10,5,8,0,928,0,,0,0,0,0,0,0,0,0,
80,11,Joschka McLeod,A4.1N23,2019-10-23,11:35:00,A4.1N23,2019-10-23,Sterile plastic bag,138,183,160,0,0,0,0,5 m pore diameter fiberglass filter,,1030,Freure 1,0,40,10,5,8,0,928,0,,0,0,0,0,0,0,0,0,
81,11,Joschka McLeod,A4.2N23,2019-10-23,11:45:00,A4.2N23,2019-10-23,Sterile plastic bag,138,183,160,0,0,0,0,5 m pore diameter fiberglass filter,,1020,Freure 1,0,40,10,5,8,0,928,0,,0,0,0,0,0,0,0,0,
82,12,Hannah Little,O5.1N23,2019-10-23,12:00:00,O5.1N23,2019-10-23,Sterile plastic bag,138,183,160,0,0,0,0,5 m pore diameter fiberglass filter,,1130,Freure 2,0,20,11,6,8,0,850,0,,0,0,0,0,0,0,0,0,
83,12,Hannah Little,O5.2N23,2019-10-23,12:15:00,O5.2N23,2019-10-23,Sterile plastic bag,138,183,160,0,0,0,0,5 m pore diameter fiberglass filter,,1070,Freure 2,0,20,11,6,8,0,850,0,,0,0,0,0,0,0,0,0,
84,12,Joschka McLeod,A5.1N23,2019-10-23,12:00:00,A5.1N23,2019-10-23,Sterile plastic bag,138,183,160,0,0,0,0,5 m pore diameter fiberglass filter,,1010,Freure 2,0,20,11,6,8,0,850,0,,0,0,0,0,0,0,0,0,
85,12,Joschka McLeod,A5.2N23,2019-10-23,12:15:00,A5.2N23,2019-10-23,Sterile plastic bag,138,183,160,0,0,0,0,5 m pore diameter fiberglass filter,,990,Freure 2,0,20,11,6,8,0,850,0,,0,0,0,0,0,0,0,0,
86,13,Hannah Little,O6.1N23,2019-10-23,13:00:00,O6.1N23,2019-10-23,Sterile plastic bag,148,193,170,0,0,0,0,5 m pore diameter fiberglass filter,,1070,Overholt,0,10,12,5,8,0,898,0,,0,0,0,0,0,0,0,0,
87,13,Hannah Little,O6.2N23,2019-10-23,13:10:00,O6.2N23,2019-10-23,Sterile plastic bag,148,193,170,0,0,0,0,5 m pore diameter fiberglass filter,,1180,Overholt,0,10,12,5,8,0,898,0,,0,0,0,0,0,0,0,0,
88,13,Joschka McLeod,A6.1N23,2019-10-23,13:00:00,A6.1N23,2019-10-23,Sterile plastic bag,148,193,170,0,0,0,0,5 m pore diameter fiberglass filter,,1050,Overholt,0,10,12,5,8,0,898,0,,0,0,0,0,0,0,0,0,
89,13,Joschka McLeod,A6.2N23,2019-10-23,13:10:00,A6.2N23,2019-10-23,Sterile plastic bag,148,193,170,0,0,0,0,5 m pore diameter fiberglass filter,,1050,Overholt,0,10,12,5,8,0,898,0,,0,0,0,0,0,0,0,0,
90,2,control1,,2019-10-23,,,,,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
91,2,control2,,2019-10-23,,,,,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
92,2,A NegC,,2019-10-23,,,,,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
93,2,O NegC,,2019-10-23,,,,,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
